slide,rid,y
99825,30,0
99825,31,0
99825,32,0
99825,33,0
99825,34,0
99825,35,0
99825,36,0
99825,37,0
99825,38,0
99825,39,0
99825,40,0
99825,41,0
99825,42,0
99825,43,0
99825,44,0
99825,45,0
99825,46,0
99825,47,0
99825,48,0
99825,49,0
99825,50,0
99825,51,0
99825,52,0
99825,53,0
99825,54,0
99825,55,0
99825,56,0
99825,57,0
99825,58,0
99825,59,0
99825,60,0
99825,61,0
99825,62,0
99825,63,0
99825,64,0
99825,65,0
99825,66,0
99825,67,0
99825,68,0
99825,69,0
99825,70,0
99825,71,0
99825,72,0
99824,1,0.75
99824,2,0.8
99824,3,0.7
99824,4,0.7
99824,5,0.8
99824,6,0.7
99824,7,0.85
99824,8,0.8
99824,9,0.85
99824,10,0.8
99824,11,0.7
99824,12,0.4
99824,13,0.5
99824,14,0.5
99824,15,0.5
99824,16,0.65
99824,17,0.5
99824,18,0.7
99824,19,0.55
99824,20,0.6
99824,21,0.65
99824,22,0.5
99824,23,0.25
99824,24,0.25
99824,25,0.2
99824,26,0.1
99824,27,0.1
99824,28,0.15
99824,29,0.25
99824,30,0.25
99824,31,0.3
99824,32,0.3
99824,33,0.35
99823,1,0.9
99823,2,0.85
99823,3,0.85
99823,4,0.9
99823,5,0.8
99823,6,0.75
99823,7,0.8
99823,8,0.75
99823,9,0.8
99823,10,0.95
99823,11,0.4
99823,12,0.75
99823,13,0.4
99823,14,0.4
99823,15,0.55
99823,16,0.6
99823,17,0.4
99823,18,0.5
99823,19,0.65
99823,20,0.4
99823,21,0.25
99823,22,0.6
99823,23,0.4
99823,24,0.3
99823,25,0.5
99823,26,0.2
99823,27,0.2
99823,28,0.6
99823,29,0.15
99823,30,0.3
99823,31,0.25
99823,32,0.35
99823,33,0.15
99823,34,0.2
99823,35,0.2
99823,36,0.25
99823,37,0.6
99823,38,0
99823,39,0
99823,40,0
99823,41,0
99823,42,0
99823,43,0
99823,44,0
99822,1,0.7
99822,2,0.8
99822,3,0.8
99822,4,0.9
99822,5,0.8
99822,6,0.8
99822,7,0.7
99822,8,0.5
99822,9,0.5
99822,10,0.65
99822,11,0.5
99822,12,0.4
99822,13,0.6
99822,14,0.65
99822,15,0.7
99822,16,0.7
99822,17,0.8
99822,18,0.55
99822,19,0.6
99822,20,0.6
99822,21,0.2
99822,22,0.2
99822,23,0.15
99822,24,0.1
99822,25,0.25
99822,26,0.15
99822,27,0.1
99822,28,0.07
99822,29,0.3
99822,30,0.3
99822,31,0.25
99822,32,0
99822,33,0
99822,34,0
99822,35,0
99822,36,0
99822,37,0
99822,38,0
99822,39,0
99822,40,0
99822,41,0
99822,42,0
99822,43,0
99822,44,0
99822,45,0
99821,1,1
99821,2,0.98
99821,3,1
99821,4,0.95
99821,5,0.98
99821,6,0.85
99821,7,0.6
99821,8,0.75
99821,9,0.75
99821,10,0.97
99821,11,0.4
99821,12,0.75
99821,13,0.95
99821,14,0.4
99821,15,0.25
99821,16,0.25
99821,17,0.1
99821,18,0.1
99821,19,0.45
99821,20,0.8
99821,21,0.4
99821,22,0.6
99821,23,0.4
99821,24,0.3
99821,25,0.15
99821,26,0.2
99821,27,0.35
99821,28,0.75
