slide,rid,y
99861,1,0.4
99861,2,0.4
99861,3,0.15
99861,4,0.1
99861,5,0.07
99861,6,0.05
99861,7,0.08
99861,8,0.15
99861,9,0.15
99861,10,0.2
99861,11,0.15
99861,12,0.2
99861,13,0.03
99861,14,0.03
99861,15,0.1
99861,16,0.25
99861,17,0.2
99861,18,0.08
99861,19,0.15
99861,20,0.25
99861,21,0.03
99861,22,0.05
99861,23,0
99861,24,0
99861,25,0
99861,26,0
99861,27,0
99861,28,0
99861,29,0
99861,30,0
99861,31,0
99861,32,0
99861,33,0
99860,1,0.75
99860,2,0.1
99860,3,0.1
99860,4,0.05
99860,5,0.05
99860,6,0.05
99860,7,0.07
99860,8,0.1
99860,9,0.1
99860,10,0.05
99860,11,0.15
99860,12,0.02
99860,13,0.05
99860,14,0.1
99860,15,0.05
99860,16,0.15
99860,17,0.2
99860,18,0
99860,19,0
99860,20,0
99860,21,0
99860,22,0
99860,23,0
99860,24,0
99860,25,0
99860,26,0
99860,27,0
99860,28,0
99860,29,0
99860,30,0
99860,31,0
99860,32,0
99860,33,0
99859,1,0.15
99859,2,0.1
99859,3,0.1
99859,4,0.15
99859,5,0.2
99859,6,0.15
99859,7,0.25
99859,8,0.15
99859,9,0.1
99859,10,0.07
99859,11,0.05
99859,12,0.05
99859,13,0.03
99859,14,0.15
99859,15,0.1
99859,16,0.1
99859,17,0.1
99859,18,0.2
99859,19,0.1
99859,20,0
99859,21,0
99859,22,0
99859,23,0
99859,24,0
99859,25,0
99859,26,0
99859,27,0
99859,28,0
99859,29,0
99859,30,0
99859,31,0
99858,1,0.7
99858,2,0.6
99858,3,0.5
99858,4,0.5
99858,5,0.5
99858,6,0.5
99858,7,0.4
99858,8,0.5
99858,9,0.4
99858,10,0.4
99858,11,0.2
99858,12,0.75
99858,13,0.4
99858,14,0.35
99858,15,0.05
99858,16,0.1
99858,17,0.45
99858,18,0.2
99858,19,0.25
99858,20,0.4
99858,21,0.5
99858,22,0.25
99858,23,0.25
99858,24,0.1
99858,25,0.25
99858,26,0
99858,27,0
99858,28,0
99858,29,0
99858,30,0
99858,31,0
99858,32,0
99857,1,0.7
99857,2,0.6
99857,3,0.5
99857,4,0.5
99857,5,0.4
99857,6,0.4
99857,7,0.4
99857,8,0.4
99857,9,0.2
99857,10,0.4
99857,11,0.15
99857,12,0.25
99857,13,0.15
99857,14,0.5
99857,15,0.25
99857,16,0.25
99857,17,0.3
99857,18,0.1
99857,19,0.05
99857,20,0.1
99857,21,0.1
99857,22,0.2
99857,23,0.05
99857,24,0.25
99856,1,0.8
99856,2,0.7
99856,3,0.7
99856,4,0.4
99856,5,0.2
99856,6,0.25
99856,7,0.1
99856,8,0.15
99856,9,0.1
99856,10,0.25
99856,11,0.05
99856,12,0.05
99856,13,0.05
99856,14,0.05
99856,15,0.05
99856,16,0.1
99856,17,0.05
99856,18,0.05
99856,19,0.05
99856,20,0.05
99856,21,0.05
99856,22,0.05
99856,23,0.05
99853,1,0.9
99853,2,0.7
99853,3,0.45
99853,4,0.4
99853,5,0.4
99853,6,0.4
99853,7,0.9
99853,8,0.4
99853,9,0.5
99853,10,0.35
99853,11,0.02
99853,12,0.65
99853,13,0.35
99853,14,0.25
99853,15,0.3
99853,16,0.35
99853,17,0.7
99853,18,0.9
99853,19,0.5
99853,20,0.3
99853,21,0.4
99853,22,0.4
99853,23,0.1
99853,24,0.2
99853,25,0.25
99853,26,0.3
99853,27,0.3
99853,28,0.1
99853,29,0.4
99853,30,0.4
99853,31,0.3
99853,32,0.1
99852,1,1
99852,2,1
99852,3,0.98
99852,4,0.98
99852,5,1
99852,6,1
99852,7,0.98
99852,8,0.97
99852,9,0.93
99852,10,0.99
99852,11,1
99852,12,0.95
99852,13,0.6
99852,14,0.6
99852,15,0.65
99852,16,0.2
99852,17,0.2
99852,18,0.4
99852,19,0.6
99852,20,0.6
99852,21,0.4
99852,22,0.6
99852,23,0.65
99852,24,0.1
99852,25,0.2
99852,26,0.1
99852,27,0.2
99852,28,0.25
99852,29,0.4
99852,30,0.4
99852,31,0.3
99852,32,0.35
99852,33,0.5
99852,34,0.15
99852,35,0.01
99852,36,0.35
99852,37,0
99852,38,0
99852,39,0
99852,40,0
99852,41,0
99852,42,0
99851,1,1
99851,2,0.85
99851,3,0.8
99851,4,0.98
